,Text
289,翟
290,谭
291,贡
292,劳
293,逄
294,姬
295,申
296,扶
297,堵
298,冉
299,宰
300,郦
301,雍
302,隙
303,璩
304,桑
305,桂
306,濮
307,牛
308,寿
309,通
310,边
311,扈
312,燕
313,冀
314,郏
315,浦
316,尚
317,农
318,温
319,别
320,庄
321,晏
322,柴
323,瞿
324,阎
325,充
326,慕
327,连
328,茹
329,习
330,宦
331,艾
332,鱼
333,容
334,向
335,古
336,易
337,慎
338,戈
339,廖
340,庾
341,终
342,暨
343,居
344,衡
345,步
346,都
347,耿
348,满
349,弘
350,匡
351,文
352,国
353,寇
354,广
355,禄
356,阙
357,东
358,欧
359,殳
360,沃
361,利
362,蔚
363,越
364,夔
365,隆
366,师
367,巩
368,厍
369,聂
370,晁
371,勾
372,敖
373,融
374,冷
375,訾
376,辛
377,阚
378,那
379,简
380,饶
381,空
382,曾
383,毋
384,沙
385,乜
386,养
387,鞠
388,须
389,丰
390,巢
391,关
392,蒯
393,相
394,查
395,后
396,荆
397,红
398,游
399,竺
400,权
401,逯
402,盖
403,益
404,桓
405,公
406,俟
407,上官
408,欧阳
409,夏候
410,诸葛
411,闻人
412,东方
413,赫连
414,皇甫
415,尉迟
416,公羊
417,澹台
418,公冶
419,宗政
420,濮阳
421,淳于
422,单于
423,太叔
424,申屠
425,公孙
426,仲孙
427,轩辕
428,令狐
429,钟离
430,宇文
431,长孙
432,慕容
433,鲜于
434,闾丘
435,司徒
436,司空
437,亓官
438,司寇
439,仉督
440,子车
441,颛孙
442,端木
443,巫马
444,公西
445,漆雕
446,乐正
447,壤驷
448,公良
449,拓拔
450,夹谷
451,宰父
452,谷梁
453,楚
454,晋
455,闫
456,法
457,汝
458,鄢
459,涂
460,钦
461,段干
462,百里
463,东郭
464,南门
465,呼延
466,归海
467,羊舌
468,微生
469,岳
470,帅
471,缑
472,亢
473,况
474,有
475,琴
476,梁丘
477,左丘
478,东门
479,西门
480,商
481,牟
482,佘
483,耳
484,伯
485,赏
486,南宫
487,墨
488,哈
489,谯笪
490,年
491,爱
492,阳
493,佟
494,第五
495,言
496,福
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
